Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,2022-10-20,QZNMX2257577,777,54.9,193109326.0,76047.0,4765141.0,8.0,64413388.0,"1,143,541",238183.0,174951046,1526856459.0,"210,031,126",17.0,40110.0,4.0,"479,325",1.0,"7,692,981","6,306",2304354.0,1,1183,163236.9619611158,1,10,7.9066945274994405,0.9568475921285422
GOOBA,GOOBA,6ix9ine,2020-05-08,QZA742002191,780,54.8,472027271.0,97766.0,8876147.0,2.0,1012949756.0,"14,257,151",2295814.0,448572991,4846286370.0,"155,050,116",22.0,120.0,10.0,"24,148",3.0,"11,693,239","76,976",2224515.0,1,2078,227154.60587102984,1,5,10.266962647022648,0.9926451755179931
vampire,vampire,Olivia Rodrigo,2023-06-30,USUG12305004,781,54.8,997536616.0,5268.0,1949130.0,1.0,148269610.0,,0.0,0,0.0,,48.0,301028.0,2.0,"18,375",2.0,0,0,854584.0,0,930,1072620.017204301,0,6,0.0,0.0
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401989,790,54.7,66101468.0,3693.0,9878576.0,84.0,4252419.0,"117,031",180.0,1800000,11200000.0,"934,654",45.0,195.0,5.0,"56,919",9.0,"184,455",248,52008.0,0,608,108719.5197368421,0,5,0.16943647651763988,0.0
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),2024-05-17,GBARL2400669,785,54.7,4505404.0,1248.0,19427406.0,64.0,148269610.0,,0.0,0,0.0,,2.0,25.0,2.0,"34,694",31.0,0,0,24801.0,1,608,7410.203947368421,0,5,0.0,0.0
Light Switch,Light Switch (Instrumental),Charlie Puth,2022-01-19,USAT22107359,782,54.7,593554969.0,84288.0,17284885.0,67.0,284499511.0,"3,909,648",506518.0,475880505,4729678365.0,"3,277,338,062",98.0,201936.0,30.0,"685,471",48.0,"55,256,200","10,657",2231820.0,0,1457,407381.5847632121,1,1,7.968391478551683,0.9020988237181734
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,2024-05-01,INS182401375,783,54.7,1852457.0,79.0,3399376.0,67.0,57254911.0,"1,254,450",0.0,0,0.0,,0.0,91.0,,,11.0,0,0,4169.0,0,624,2968.68108974359,0,5,0.0,0.0
On Me,On Me,Lil Baby,2020-12-04,USUG12004399,788,54.7,368017246.0,105732.0,15129396.0,67.0,227182263.0,"1,554,044",163221.0,22024839,198936453.0,"37,367,982",57.0,178634.0,9.0,"32,400",6.0,"141,610,948","45,141",1728476.0,1,1868,197011.37366167025,0,12,0.540562853023027,0.0
when the party's over,when the party's over,Billie Eilish,2018-10-17,USUM71815958,787,54.7,1845938685.0,186633.0,79124996.0,79.0,931398498.0,"13,775,924",1622629.0,210787744,1349258289.0,"750,592,461",163.0,24691.0,62.0,"398,168",32.0,"139,323,553","150,239",5811377.0,0,2647,697370.111446921,0,10,0.7309334265721109,0.06630624384389101
Love The Way You Lie,538 Hitzone 55,Eminem,2010-01-01,USUM71015397,784,54.7,1532052160.0,236943.0,76167038.0,79.0,3009144927.0,"15,864,764",208118.0,23435916,223136013.0,"254,272,987",84.0,4437.0,67.0,"669,362",49.0,"800,108,842","1,358,251",10011625.0,1,5858,261531.60805735743,0,1,0.14564518015780534,0.01
Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214885,789,54.7,725076772.0,83311.0,29009374.0,72.0,296661885.0,"2,150,658",705800.0,287983296,3014389754.0,"22,621,115",51.0,39010.0,15.0,"1,934,966",19.0,"64,496,554","17,065",1467014.0,0,1350,537093.9051851851,1,5,4.157338734666653,0.8341332221793436
Make You Mine,Make You Mine,Madison Beer,2024-02-09,USSM12400758,786,54.7,127909006.0,13354.0,49984859.0,67.0,26653465.0,"788,713",0.0,12674158,295301300.0,"191,049,109",78.0,31924.0,84.0,"9,231,885",42.0,"4,474,757","1,113",1031888.0,0,706,181174.2294617564,0,2,2.3086826090362815,0.0
Freaks,Freaks,Surf Curse,2021-05-15,USAT22102269,791,54.6,1089328286.0,200016.0,33498182.0,77.0,256738121.0,"4,601,685",511.0,265535,2110692.0,"4,098,036",25.0,10305.0,11.0,"10,105",25.0,"15,296,063","15,812",4341439.0,0,1706,638527.7174677609,0,5,0.0019376087311684764,0.0
In Da Getto,In Da Getto,J Balvin,2021-07-02,QZM5U2100095,792,54.6,484375103.0,133279.0,27602101.0,61.0,218975838.0,"3,159,820",1920220.0,452069335,6219918723.0,"90,132,395",131.0,69511.0,43.0,"354,884",58.0,"43,024,314","14,600",7336982.0,0,1658,292144.2117008444,1,7,12.841119767790543,0.9841652264668705
Chale,Chale - Single,Eden Mu,2022-02-18,MXB952200017,794,54.5,414104069.0,33044.0,18247093.0,67.0,665626745.0,"2,889,082",968864.0,248485504,2953043191.0,"28,563,266",18.0,17222.0,4.0,"196,022",43.0,"40,508,092","7,944",854584.0,0,1427,290192.05956552207,1,2,7.131161958876666,0.9946601377855417
Try That In A Small Town,Try That In A Small Town,Jason Aldean,2023-05-19,QMRSZ2300454,793,54.5,66418201.0,20547.0,1758957.0,37.0,59550101.0,"1,432,480",0.0,0,0.0,"803,299,613",5.0,174811.0,1.0,"79,460",2.0,"106,455,054","62,007",264899.0,1,972,68331.48251028807,0,5,0.0,0.0
Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214881,796,54.3,742515730.0,93128.0,28604664.0,73.0,275203830.0,"1,499,544",940020.0,241093278,2486183983.0,"22,246,842",39.0,10091.0,4.0,"178,868",7.0,"36,599,355","3,147",959597.0,1,1350,550011.6518518518,1,5,3.34832499730568,0.7714715362161136
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,2023-03-23,SGB502340678,795,54.3,24963236.0,5624.0,1097527.0,48.0,96957064.0,"1,319,260",3177849.0,39336848,670846125.0,"6,083,511",2.0,0.0,,,1.0,0,0,228158.0,1,1029,24259.704567541303,1,3,26.873362817490374,0.905
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc,2024-02-09,USSM12401303,798,54.3,425058273.0,2563.0,11967164.0,67.0,46791219.0,"643,498",0.0,0,0.0,"987,644,203",63.0,0.0,3.0,"35,655",,"13,815,433","36,200",854584.0,0,706,602065.5424929179,0,2,0.0,0.0
Petit g,Petit gï¿½ï¿,Jungeli,2023-08-04,QMBZ92393247,797,54.3,159181956.0,29011.0,10943796.0,74.0,159092284.0,"820,029",12100.0,2709265,37717213.0,"201,180,033",38.0,29970.0,46.0,"20,176,323",46.0,0,0,3454084.0,1,895,177856.9340782123,0,8,0.2369440212372813,0.0
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2023-02-04,ING642301070,801,54.2,125047.0,6.0,44905.0,14.0,659724253.0,"4,199,987",0.0,0,0.0,"4,618,100",0.0,2.0,,,,0,0,262.0,0,1076,116.21468401486987,0,2,0.0,0.0
,Show - Single,Ado,2023-09-06,JPPO02302806,800,54.2,114381380.0,15725.0,4390255.0,67.0,230252306.0,"1,606,934",286300.0,41518862,613717046.0,"548,853,137",33.0,507.0,1.0,"1,802",7.0,0,0,270400.0,0,862,132693.0162412993,0,9,5.365532752223022,0.013333333333333332
Breaking the Habit,Papercuts,Linkin Park,2024-04-12,USWB12401898,802,54.2,428629823.0,2.0,454.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,1649113.0,0,643,666609.367029549,0,4,0.0,0.0
Work,ANTI (Deluxe),Rihanna,2016-01-28,QM5FT1600116,799,54.2,1399521364.0,144823.0,46076265.0,73.0,1662063771.0,"10,770,107",3515.0,6820574,36448419.0,"244,639,723",432.0,3418.0,135.0,"1,255,495",77.0,"603,707,599","736,551",8814930.0,1,3640,384483.8912087912,0,1,0.026043488803759705,0.0
Normal,Normal,Feid,2022-07-08,USUM72211935,804,54.1,724772954.0,76821.0,31039211.0,76.0,395704504.0,"1,556,356",86775.0,25803660,237386912.0,"472,550,280",59.0,28567.0,22.0,"4,507,712",32.0,"9,638,456","2,516",956990.0,1,1287,563149.1484071484,0,7,0.32753279542556885,0.0
LALALALA,ROCK-STAR,Stray Kids,2023-11-10,US5TA2300151,803,54.1,154592041.0,10814.0,10289612.0,67.0,161998287.0,"2,825,345",184200.0,94512843,430312931.0,"770,557,253",7.0,3470.0,6.0,"249,201",38.0,"1,737,006","2,335",279165.0,0,797,193967.42910915933,0,11,2.7835386959957487,0.02
Sum 2 Prove,Sum 2 Prove,Lil Baby,2020-01-10,USUG11902886,807,54.0,444934033.0,141088.0,17349295.0,66.0,411628542.0,"2,868,681",191154.0,26909802,238372502.0,"7,285,479",63.0,65318.0,14.0,"145,275",6.0,"124,269,386","38,557",1925871.0,1,2197,202518.90441511152,0,1,0.5357479621349892,0.0
Lottery (Renegade),Lottery,K CAMP,2019-04-01,USUYG1247701,808,54.0,173526912.0,28272.0,6607554.0,46.0,102774513.0,"1,300,907",13802112.0,663362447,6653535769.0,"40,852",20.0,120.0,12.0,"39,746",2.0,"41,431,663","171,614",1592457.0,1,2481,69942.32648125755,1,4,38.342961641921214,0.9967313382953988
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-08-11,USWB11701181,805,54.0,1382191196.0,119969.0,51471665.0,66.0,1318325154.0,"6,888,667",624291.0,24379364,260253261.0,"1,408,688,467",5.0,201437.0,39.0,"220,305",64.0,"611,963,837","298,341",854584.0,0,3079,448909.1250405976,0,8,0.18829034764862562,0.0
Good Days,Good Days,SZA,2020-12-25,USRC12004189,806,54.0,1105805922.0,164541.0,62561721.0,77.0,295872840.0,"2,947,859",534634.0,157378144,920329965.0,"42,909,616",231.0,62354.0,52.0,"281,696",54.0,"71,061,814","56,012",2548829.0,1,1847,598703.8018408229,0,12,0.8322707862725022,0.15377256427340516
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,2021-04-28,USUG12102313,810,53.9,844630935.0,94185.0,54080564.0,74.0,269892715.0,"2,020,373",71293.0,17326017,182430905.0,"993,825,483",147.0,380249.0,21.0,"620,249",27.0,"139,703,215","15,853",7138195.0,0,1723,490209.4805571677,0,4,0.2159888979013196,0.0
Youngblood,Youngblood,5 Seconds of Summer,2018-04-12,GBUM71800366,811,53.9,1790579305.0,180069.0,75602805.0,76.0,792369989.0,"7,627,895",226361.0,15100678,81167209.0,"225,749,952",148.0,298540.0,33.0,"444,155",64.0,"394,705,510","159,091",10854729.0,0,2835,631597.6384479718,0,4,0.04533013909410165,0.0
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01,USSM11300080,809,53.9,2916412507.0,415650.0,149359220.0,85.0,1648485745.0,"18,338,729",1248637.0,324536571,2911383718.0,"71,486,828",189.0,61334.0,114.0,"604,895",9.0,"384,534,750","719,472",854584.0,0,5128,568723.1877925117,0,1,0.9982756931722774,0.033855979068931
Merayu Tuhan,Merayu Tuhan,Tri Suaka,2023-08-15,QZYFZ2347514,813,53.8,8517888.0,506.0,74157.0,43.0,71408616.0,"296,903",2200000.0,17612619,540360680.0,"45,212,529",0.0,264.0,,,,0,0,20886.0,0,884,9635.619909502262,0,8,63.43833313629703,0.0
If We Being R,2093,Yeat,2024-02-16,USUM72401643,812,53.8,92517121.0,10195.0,13681051.0,80.0,4695846.0,"79,415",0.0,0,0.0,,19.0,584.0,10.0,"1,802,148",3.0,"167,577","1,061",1371705.0,1,699,132356.39628040057,0,2,0.0,0.0
Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,USSM11914456,815,53.7,634493511.0,89559.0,32092279.0,66.0,325005278.0,"4,709,406",11714753.0,557393131,6459413096.0,"12,749,911",48.0,101.0,36.0,"344,770",,"34,039,218","29,304",8659169.0,0,2694,235520.9766146993,1,8,10.180424186906421,0.9812022624800175
Felices los 4,Felices los 4,Maluma,2017-04-21,USSD11700134,814,53.7,932817713.0,73487.0,24333265.0,68.0,2349558424.0,"9,318,868",206344.0,18309676,177718441.0,"341,943,201",100.0,19135.0,53.0,"1,133,769",62.0,"251,569,141","201,061",5644479.0,0,3191,292327.7069884049,0,4,0.19051786681658148,0.0
Mariposita,Mariposita,La Vaca Lola,2021-03-04,QZDA62161038,820,53.6,239850720.0,0.0,0.0,67.0,1562650492.0,"3,425,982",7.0,26,747.0,,0.0,21.0,,,,0,0,854584.0,0,1778,160831.7682875264,0,3,3.1144371669410156e-06,0.0
Relaci,Relaciï¿½,Sech,2020-04-02,QM9WM2000013,821,53.6,468900803.0,62750.0,12074538.0,60.0,1137550621.0,"7,566,148",2205109.0,110809435,1052766873.0,"125,135,301",29.0,6654.0,16.0,"175,086",2.0,"117,125,054","20,214",1507000.0,0,2114,221807.380794702,1,4,2.2451803537534563,0.9982581209283508
ELOVRGA,Elovrga - Single,Alex Favela,2023-08-18,QZNFJ2303104,819,53.6,333899135.0,24862.0,20963358.0,75.0,180084509.0,"900,128",152867.0,82946328,704890346.0,"246,991,766",14.0,2919.0,11.0,"1,680,860",4.0,"1,736,093","1,447",967858.0,1,881,379000.1532349603,0,8,2.1110876609156604,0.2505783347346899
Party Girl,Party Girl,StaySolidRocky,2020-04-21,USSM12002247,816,53.6,730440576.0,115574.0,16306099.0,67.0,199161217.0,"2,037,639",6782670.0,391923611,3194124847.0,"23,072,079",62.0,16774.0,15.0,"43,249",10.0,"8,510,801","72,500",1963555.0,0,2095,348658.9861575179,1,4,4.372874327599136,0.9264045314104772
I Feel It Coming,I Feel It Coming,The Weeknd,2016-11-17,USUG11601012,817,53.6,1749088490.0,193568.0,52373071.0,72.0,1489647996.0,"7,616,181",0.0,2430,36437.0,"287,132,059",298.0,130551.0,123.0,"980,454",46.0,"230,834,970","108,406",17963628.0,0,3346,522740.1344889421,0,11,2.083199345687079e-05,0.0
Get In With Me,Get In With Me - Single,Bossman Dlow,2024-01-19,USQX92400087,818,53.6,39401314.0,7442.0,18628678.0,67.0,45484183.0,"363,079",0.0,7309300,46178900.0,"305,726,555",31.0,68432.0,6.0,"905,095",34.0,"10,802,316","10,738",607813.0,1,727,54197.13067400275,0,1,1.1720141827753718,0.0
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,2020-07-09,USUM72013642,822,53.5,391856304.0,68311.0,11888692.0,58.0,1040938222.0,"8,443,453",2490398.0,109826716,1423789944.0,"329,599,890",73.0,23516.0,17.0,"58,326",36.0,"9,507,064","15,164",1570803.0,0,2016,194373.16666666663,1,7,3.633449113444787,0.9983402727029183
Human,Human,Rag'n'Bone Man,2016-07-21,GBARL1600665,824,53.4,1013083048.0,170367.0,49113191.0,74.0,1900272147.0,"12,302,869",265475.0,90999656,1070508080.0,"186,882,524",197.0,145288.0,92.0,"885,612",43.0,"163,719,567","94,640",19092054.0,0,3465,292376.06002886005,1,7,1.0566834387927855,0.7969787888061544
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,2024-04-12,USSM12403111,823,53.4,64193671.0,9077.0,15569468.0,67.0,10688644.0,"234,397",0.0,0,0.0,"65,527,813",31.0,2523.0,28.0,"1,345,845",,"695,510",733,349821.0,1,643,99834.63608087091,0,4,0.0,0.0
snowfall,Snowfall - Single,neheart,2022-01-14,QM3DF2191341,828,53.3,652949750.0,72344.0,19014919.0,79.0,46232838.0,"980,365",3889444.0,1232791337,10888392002.0,,12.0,81.0,2.0,"58,283",,"764,755","1,548",1852974.0,0,1462,446614.0560875513,0,1,16.675696690785628,0.8076852697906709
First Love,First Love - Single,Oscar Maydon,2023-12-07,QZJJE2390614,825,53.3,230291754.0,11519.0,61076412.0,78.0,113183874.0,"658,962",0.0,0,0.0,"2,342,845,627",8.0,2091.0,19.0,"7,394,544",12.0,"15,400,444","5,339",1277194.0,0,770,299080.2,0,12,0.0,0.0
La_Original.mp3,La_Original.mp3,Emilia,2023-11-02,USSD12300584,829,53.3,184441175.0,17845.0,26300966.0,73.0,109532952.0,"635,058",193100.0,40676589,529217516.0,"483,390,087",55.0,34836.0,52.0,"631,203",32.0,"39,845",57,400818.0,0,805,229119.47204968944,0,11,2.8693024381930856,0.02
OA,OA,Anuel AA,2023-10-13,QZ7B82300076,827,53.3,178950943.0,29895.0,35946086.0,80.0,113884335.0,"541,097",0.0,0,0.0,"687,327,384",23.0,10388.0,16.0,"1,284,111",,"1,197,289",312,595427.0,1,825,216910.23393939395,0,10,0.0,0.0
Pagodo do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,2022-11-11,BCO3K2200121,830,53.3,54513960.0,13089.0,4241209.0,52.0,183119.0,"2,667",4650900.0,503245598,6429494637.0,,2.0,17.0,17.0,"10,926",5.0,0,0,448872.0,0,1161,46954.31524547804,1,11,117.94216598936922,0.9996761274559944
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,2020-08-28,KRA402000131,826,53.3,574505748.0,47463.0,17801611.0,58.0,1037344011.0,"21,343,581",2161485.0,204760050,1928057718.0,"2,185,956,346",87.0,50575.0,33.0,"197,629",45.0,"17,035,475","44,722",1430212.0,0,1966,292220.62461851473,1,8,3.3560285886712684,0.9966502692301721
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,2024-04-01,USA2P2408081,832,53.2,75894056.0,2524.0,11857367.0,84.0,70842688.0,"1,388,774",0.0,14529171,59546295.0,"48,470,843",9.0,290.0,5.0,"295,059",21.0,"348,004",177,113020.0,0,654,116045.95718654434,0,4,0.784597600310127,0.0
one of wun,One of Wun,Gunna,2024-05-10,USAT22403437,831,53.2,58469975.0,7073.0,108431155.0,82.0,4436805.0,"59,189",0.0,0,0.0,"381,728",0.0,0.0,,,,0,0,854584.0,1,615,95073.1300813008,0,5,0.0,0.0
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,GBARL2301712,838,53.1,200151839.0,32776.0,133835796.0,82.0,11597448.0,"140,956",0.0,0,0.0,,55.0,26872.0,99.0,"10,753,176",39.0,"1,710,983",370,1371435.0,0,776,257927.6275773196,0,12,0.0,0.0
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2023-02-05,USAT22301358,837,53.1,377174503.0,100095.0,41254482.0,71.0,148269610.0,,0.0,0,0.0,,0.0,0.0,10.0,"1,314,061",8.0,"196,473","1,346",854584.0,1,1075,350860.0027906977,0,2,0.0,0.0
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-24,QMJMT1902056,836,53.1,1285518117.0,221749.0,47461150.0,74.0,606135388.0,"5,429,579",24013.0,9483657,72297780.0,"42,301,836",119.0,73534.0,33.0,"200,166",35.0,"377,326,561","178,350",3638588.0,1,2548,504520.4540816327,0,1,0.05624018750702664,0.0
TO THE MOON,TO THE MOON,JNR CHOI,2021-11-05,QZNWW2131527,834,53.1,274647899.0,96137.0,14188085.0,60.0,64640927.0,"776,716",1905324.0,583572613,7062611890.0,"2,031,792,442",22.0,161374.0,16.0,"56,440",8.0,"139,439,113","21,327",3786029.0,1,1532,179274.0855091384,1,11,25.715149797249495,0.9967643770853013
Fancy Like,Country Stuff,Walker Hayes,2021-06-04,USQX92101534,835,53.1,328697441.0,56746.0,6878594.0,66.0,174775864.0,"1,192,058",796309.0,174360135,2074178281.0,"774,476,433",53.0,289947.0,,,45.0,"242,860,151","274,465",2520013.0,0,1686,194956.9638196916,1,6,6.31029638800779,0.9970325816518516
The Color Violet,Alone At Prom,Tory Lanez,2021-12-10,QZTGW2100275,833,53.1,806918358.0,152298.0,19863721.0,79.0,105278538.0,"1,053,733",40106.0,22514603,251896836.0,"3,583,107",22.0,2409.0,2.0,"22,675",3.0,"893,116","8,036",2322363.0,0,1497,539023.619238477,0,12,0.3121714027081642,0.0
S91,S91,KAROL G,2023-07-14,USUG12305255,840,53.0,240161044.0,22270.0,15087485.0,64.0,164645464.0,"1,308,408",503900.0,16972968,257922639.0,"438,911,868",40.0,24578.0,19.0,"2,172,067",4.0,"19,801,440","3,668",614971.0,0,916,262184.5458515284,0,7,1.0739570149688513,0.0
LALISA,LALISA,LISA,2021-09-10,KRA402100098,839,53.0,502655066.0,33286.0,15876032.0,73.0,900358198.0,"23,155,453",909216.0,188844723,1612602199.0,"255,397,268",19.0,8719.0,13.0,"16,498",25.0,"2,844,171","4,038",1084041.0,0,1588,316533.4168765743,1,9,3.2081685928772306,0.9954938966296099
Levitating,Future Nostalgia,Dua Lipa,2020-03-27,GBAHT1901299,841,52.9,946842175.0,145601.0,34376048.0,73.0,39855160.0,"660,222",1493355.0,552112407,4779580212.0,"52,496,892",269.0,704419.0,73.0,"1,232,589",107.0,"85,497,325","33,210",3946971.0,0,2120,446623.6674528302,1,3,5.047916467126196,0.916370966848847
RUBICON,Gï¿½ï¿½N,Peso Pluma,2023-06-22,QM7282306229,844,52.9,246224964.0,23436.0,13507680.0,73.0,147798315.0,"492,303",559400.0,20923219,278318607.0,"37,990,067",22.0,1401.0,1.0,72,2.0,"22,544,059","10,243",585523.0,1,938,262499.9616204691,0,6,1.1303427619534843,0.0
Gimme Love,Gimme Love,Sia,2023-09-13,USAT22307798,843,52.9,105947434.0,11648.0,11690122.0,6.0,27707323.0,"325,476",688.0,463074,12855128.0,"1,157,866,791",55.0,224009.0,40.0,"23,048,308",21.0,"1,319,886",112,1684376.0,0,855,123915.12748538012,0,9,0.1213349620026195,0.0
Diz A Qual  ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,2024-03-07,BRWMB2400220,842,52.9,71944011.0,5329.0,22615957.0,67.0,89527069.0,"935,574",0.0,0,0.0,"195,273,347",0.0,7.0,32.0,"9,834,159",14.0,0,0,854584.0,1,679,105955.83357879234,0,3,0.0,0.0
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,2024-01-19,INS182400204,848,52.8,114992281.0,3618.0,12001774.0,75.0,144797885.0,"1,123,962",0.0,0,0.0,"1,197,864,632",19.0,555.0,,,27.0,0,0,286797.0,0,727,158173.7015130674,0,1,0.0,0.0
Arjan Vailly,"Arjan Vailly (From ""ANIMAL"")",Manan Bhardwaj,2023-11-18,INS182303269,849,52.8,123276250.0,8330.0,3632731.0,67.0,208302578.0,"1,903,455",0.0,0,0.0,"336,717,167",6.0,286.0,,,11.0,0,0,146801.0,0,789,156243.6628643853,0,11,0.0,0.0
Demons,Continued Silence - EP,Imagine Dragons,2012-01-01,USUM71201071,847,52.8,2270796677.0,263640.0,71470111.0,80.0,1738647396.0,"12,375,429",261866.0,25465591,296361891.0,"273,191,644",70.0,144439.0,88.0,"2,680,196",29.0,"1,087,793,804","553,855",18161724.0,0,5128,442823.0649375975,0,1,0.1305100953648656,0.001
Supalonely,STELLA & STEVE,BENEE,2019-11-15,USUM71922597,845,52.8,738407486.0,111662.0,26764629.0,62.0,363250356.0,"4,622,840",4814901.0,442756956,3587729796.0,"287,718,975",153.0,249364.0,115.0,"267,828",27.0,"61,533,676","36,942",6834164.0,1,2253,327744.1127385708,1,11,4.858739732686378,0.9953146823019513
Lean On (feat. M & DJ Sn,Full Circle: The Live Anthology,Major Lazer,2011-11-20,QMUY41500008,846,52.8,2080878370.0,242511.0,79506771.0,76.0,308933095.0,"2,370,617",270919.0,33270068,289518843.0,"216,000",497.0,168731.0,250.0,"2,469,856",96.0,"649,970,533","356,393",26993119.0,1,5170,402490.9806576402,0,11,0.13913299644748914,0.0
Spin Bout U,Her Loss,Drake,2022-11-04,USUG12208603,856,52.6,356685934.0,88034.0,16963292.0,71.0,56086730.0,"430,375",76706.0,32337952,229937284.0,"258,434",37.0,412.0,3.0,"171,037",37.0,"48,943,722","16,367",1574072.0,1,1168,305381.79280821915,0,11,0.6446491477159031,0.0
From The Start,From The Start - Single,Laufey,2023-05-11,QM6N22309399,855,52.6,368256958.0,53922.0,25450036.0,73.0,69276606.0,"1,394,619",224617.0,128900059,772554264.0,"9,780",27.0,8642.0,13.0,"766,548",89.0,"855,743","7,084",1011059.0,0,980,375772.40612244897,1,5,2.0978673861258925,0.814046123278226
ZOOM,ZOOM,Jessi,2022-04-13,KRA382204517,850,52.6,166161044.0,22288.0,7774873.0,61.0,303569838.0,"5,827,005",3903605.0,865870535,9393168416.0,"146,065,235",5.0,5680.0,5.0,"53,217",8.0,0,0,778299.0,0,1373,121020.42534595776,1,4,56.53050879645106,0.9881613841540934
Can't Feel My Face,Your Songs 2015,The Weeknd,2015-03-02,USUG11500741,851,52.6,1747534539.0,212829.0,101243254.0,76.0,1689190795.0,"8,927,108",552005.0,26588465,264572676.0,"238,111,307",433.0,158190.0,149.0,"1,452,991",97.0,"552,312,888","221,611",14056461.0,0,3972,439963.37839879154,0,3,0.1513976805288209,0.000588235294117647
Qu Onda Per,Quï¿½ï¿½ Onda Per,Grupo Firme,2023-03-30,QZDQH2362804,852,52.6,213405904.0,17694.0,13723182.0,70.0,401470868.0,"961,314",0.0,0,0.0,"534,052,740",15.0,9254.0,10.0,"1,737,734",4.0,"7,260,620","8,781",655854.0,0,1022,208812.03913894325,0,3,0.0,0.0
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,2011-01-01,USUM71108090,853,52.6,436722440.0,107912.0,33797077.0,62.0,1193724016.0,"7,130,332",652850.0,62596716,927660445.0,"222,701,064",57.0,5186.0,37.0,"157,088",5.0,"840,489,680","3,395,379",6761782.0,0,5493,79505.26852357546,1,1,2.1241419215276824,0.9746823498567199
WHATS POPPIN,WHATS POPPIN,Jack Harlow,2020-01-21,USAT22000162,854,52.6,819779577.0,161131.0,28874159.0,70.0,709454117.0,"7,190,778",748490.0,210602527,2078817404.0,"52,474,731",68.0,88990.0,34.0,"65,099",24.0,"131,616,894","84,304",3222518.0,1,2186,375013.53019213176,1,1,2.5358248238772303,0.9607882607861516
POR EL CONTRARIO,ESQUINAS,Becky G,2023-09-28,USRC12302408,857,52.5,131938548.0,5913.0,9167049.0,75.0,118669957.0,"649,548",836833.0,46373944,589093596.0,"353,950,794",10.0,7049.0,22.0,"6,520,222",11.0,"13,424,036","7,230",684079.0,0,840,157069.7,0,9,4.464908856925507,0.0
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,2023-12-21,TCJPY2352543,859,52.4,1648192461.0,15.0,52.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,1,756,2180148.757936508,0,12,0.0,0.0
Rara Vez,Rara Vez,Taiu,2023-02-08,ARUM72300004,860,52.4,544165928.0,58646.0,20499657.0,77.0,200445038.0,"1,806,923",302386.0,150768049,1522432243.0,"18,292,788",15.0,12021.0,16.0,"403,215",14.0,"26,771",204,943365.0,0,1072,507617.4701492537,0,2,2.797735326424672,0.6927657810406902
