Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
CUTE DEPRESSED,Cute Depressed - Single,Dyan Dxddy,2024-02-02,QZZ662413549,"3,726",22.2,54477192.0,3729.0,21277335.0,77.0,36326774.0,"890,834",0.0,3460300,41400000.0,,2.0,1.0,1.0,378,,0,0,120049.0,1,713,76405.59887798036,0,2,0.7599510496071264,0.0
Inolvidable,Inolvidable,Ovy On The Drums,2020-01-15,USWL12000002,"3,712",22.2,256133319.0,38487.0,8731809.0,65.0,515007268.0,"2,900,662",357700.0,35450027,341404786.0,"9,984",8.0,1434.0,12.0,"11,915",,"1,589,215","1,776",1247248.0,0,2192,116849.14187956204,0,1,1.3329182864611289,0.0002542372881355932
Lioness,Lioness,Swedish House Mafia,2024-06-07,USUG12403371,"3,710",22.2,2480498.0,776.0,49144891.0,67.0,144589.0,"5,727",0.0,0,0.0,,24.0,32.0,23.0,"1,512,955",27.0,"37,570",4,13506.0,0,587,4225.720613287905,0,6,0.0,0.0
Zombie,Zombie,Bad Wolves,2018-01-19,USDPK1800004,"3,718",22.2,391235723.0,77293.0,8225027.0,6.0,133338318.0,"1,407,929",104019.0,14567512,193481131.0,"2,330",9.0,60942.0,8.0,"9,221",33.0,"300,045,453","184,086",5361011.0,0,2918,134076.66997943798,0,1,0.49453850742934713,0.0
NI BIEN NI MAL,X 100PRE,Bad Bunny,2018-12-23,QM7281884659,"3,735",22.2,461199840.0,57617.0,14966162.0,61.0,457134135.0,"3,745,990",789376.0,16239631,170750243.0,"23,716,081",14.0,2191.0,13.0,"23,140",,"87,133,397","13,955",889933.0,1,2580,178759.62790697673,0,12,0.37023048973687744,0.0002542372881355932
MAANA SER,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2023-02-23,USUM72222550,"3,721",22.2,132811353.0,12970.0,4805498.0,66.0,53670834.0,"569,439",516300.0,12432832,163703206.0,,9.0,4052.0,4.0,"79,090",20.0,"27,113,778","7,037",212091.0,0,1057,125649.34058656576,0,2,1.2325994809148622,0.0
My Heart Goes (La Di Da),Only Honest On The Weekend,Becky Hill,2021-08-20,GBUM72102422,"3,736",22.2,300361628.0,57447.0,23619962.0,63.0,73752014.0,"482,554",3082.0,633965,11785929.0,"18,021,243",94.0,104475.0,47.0,"408,539",46.0,"11,794,498","1,503",1988562.0,0,1609,186675.96519577372,0,8,0.039239129975553566,4.1666666666666665e-05
Candy Shop,Candy Shop,50 Cent,2005-01-01,USIR10500072,"3,732",22.2,954807024.0,219091.0,69258950.0,75.0,1230174677.0,"8,016,633",313458.0,56619292,950938614.0,"379,363,177",76.0,44539.0,49.0,"662,226",25.0,"336,378,328","387,818",6300407.0,1,7684,124259.11296199897,0,1,0.9959484891724587,0.1502563822902806
ONLY,ONLY,LeeHi,2021-08-27,KRC712100039,"3,724",22.2,335212411.0,50340.0,7777287.0,71.0,154369917.0,"1,963,254",411400.0,224149612,1513137827.0,"5,539,129",8.0,3885.0,1.0,"1,895",,"260,052","1,206",959210.0,0,1602,209246.1991260924,1,8,4.513967182694894,0.9925139135354448
Avalon,Avalon,$uicideboy$,2021-05-21,QZAPK2000176,"3,723",22.2,204669341.0,54797.0,3940409.0,65.0,49001959.0,"441,894",17568.0,4312773,49284460.0,"65,798,617",2.0,14.0,,,,"4,218,125","3,630",288456.0,1,1700,120393.73,0,5,0.24080040282730766,0.0
Puro Campe,Puro Campeï¿½ï¿½n - Si,Grupo Marca Registrada,2022-10-14,USA2P2243895,"3,708",22.2,162996272.0,20521.0,5076875.0,61.0,137834966.0,"708,557",265100.0,5676478,72517463.0,,5.0,47.0,,,,"16,395,222","1,958",338327.0,0,1189,137086.85618166527,0,10,0.44490258375416963,0.005809792843691149
Espern,Esperï¿½ï¿½n,Manuel Turizo,2017-12-07,USQX91702666,"3,729",22.2,333106545.0,25970.0,7253202.0,59.0,982437656.0,"2,944,717",81315.0,3138449,37754097.0,"200,120,108",18.0,3327.0,11.0,"140,309",8.0,"35,770,201","4,370",1055124.0,0,2961,112497.98885511652,0,12,0.11333940282278332,0.0
Gas Pedal,Gas Pedal - The EP,Sage The Gemini,2013-03-19,USUYG1027384,"3,751",22.1,253903241.0,57350.0,12202121.0,59.0,25539550.0,"321,940",101759.0,20788928,136052679.0,,25.0,4115.0,6.0,"23,224",,"239,853,559","1,580,905",2408827.0,1,4685,54194.92870864461,0,3,0.5358445915393235,0.0
Landmines,Landmines,Sum 41,2023-09-27,QMRSZ2302172,"3,748",22.1,18708085.0,6754.0,7014623.0,67.0,6801971.0,"145,932",0.0,5671,68136.0,"5,104,817",14.0,81065.0,4.0,"159,332",27.0,"2,902,311",327,325793.0,1,841,22245.047562425683,0,9,0.0036420615128666825,0.0
Flowers,Flowers (Official Video),Miley Cyrus,2023-01-12,USSM22202811,"3,752",22.1,2031280633.0,1.0,92.0,67.0,148269610.0,,0.0,0,0.0,,0.0,0.0,,,,0,0,854584.0,0,1099,1848299.02911738,0,1,0.0,0.0
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)",Tyler ICU,2023-04-28,ZB1OS2300183,"3,747",22.1,54611633.0,19814.0,4852560.0,61.0,25626713.0,"241,463",575800.0,50987040,681526979.0,,38.0,3127.0,4.0,"16,548",4.0,0,0,854584.0,1,993,54996.60926485398,1,4,12.479520004839994,0.9205455909892046
DANCE CRIP,DANCE CRIP,Trueno,2021-11-17,ARRWN2000082,"3,754",22.1,265253887.0,50642.0,5259227.0,61.0,186689501.0,"2,429,799",123504.0,81240604,704505804.0,"48,162,048",25.0,0.0,10.0,"117,988",10.0,0,0,854584.0,1,1520,174509.13618421054,1,11,2.6559678702994165,0.824308062172768
stellar,stellar,.diedlonely,2023-06-23,QM3DF2222961,"3,742",22.1,44235866.0,6022.0,1268699.0,66.0,5698615.0,"142,632",919217.0,181638749,1776006642.0,,4.0,6.0,1.0,"43,207",,0,0,363177.0,0,937,47210.10245464248,1,6,40.148566365840644,0.9792082039575605
En Tu Perra Vida,En Tu Perra Vida,Grupo Firme,2021-05-12,QZDQH2143285,"3,740",22.1,265126606.0,24857.0,13763202.0,53.0,336327870.0,"1,617,604",35300.0,7194400,92652072.0,"18,970,945",14.0,3623.0,2.0,"3,684",21.0,"56,443,526","10,299",801181.0,1,1709,155135.52135751903,0,5,0.34946349990440606,4.1666666666666665e-05
Malibu,Malibu,Miley Cyrus,2017-05-11,USRC11700814,"3,763",22.1,810044838.0,87422.0,33951824.0,68.0,541704571.0,"3,988,386",258494.0,158069295,1190522330.0,"78,787,707",136.0,21318.0,69.0,"429,231",33.0,"58,182,683","91,836",3225942.0,0,3171,255454.064333018,1,5,1.4696992964854876,0.9390494197937209
Skin and Bones,Skin and Bones,David Kushner,2024-01-19,QZXDB2300047,"3,744",22.1,70354552.0,9185.0,8922438.0,67.0,19123011.0,"368,576",0.0,6440333,45949903.0,"123,899,368",17.0,1224.0,19.0,"64,690",21.0,"1,383,422",761,854584.0,0,727,96773.7991746905,0,1,0.6531191094341826,0.0
Shut up My Moms Calling - (Sped Up),Shut up My Moms Calling (Sped up),Hotel Ugly,2022-09-14,SE6XY2215995,"3,746",22.1,428290193.0,54042.0,7715768.0,75.0,148269610.0,,0.0,0,0.0,,2.0,0.0,2.0,"27,653",8.0,"171,307",954,697563.0,0,1219,351345.5233798195,0,9,0.0,0.0007692307692307692
Spinnin,Spinnin,Connor Price,2022-10-21,QZTAS2238500,"3,741",22.1,164206429.0,49659.0,12999272.0,63.0,12484960.0,"163,647",25200.0,18960431,182197234.0,,1.0,136.0,,,,"3,424,202","2,471",776674.0,0,1182,138922.5287648054,0,10,1.109562116416513,0.0007692307692307692
